Company Name,Company Ticker,Name,Age,Position,Appointed,
1-800-Flowers.Com Inc,FLWS.O,Adam Hanft,69,Independent Director,2019,
1-800-Flowers.Com Inc,FLWS.O,Arnie Leap,51,"Senior Vice President, Chief Information Officer",2013,
1-800-Flowers.Com Inc,FLWS.O,Celia R. Brown,65,Independent Director,2016,
1-800-Flowers.Com Inc,FLWS.O,Christopher G. McCann,58,"President, Chief Executive Officer, Director",2016,
1-800-Flowers.Com Inc,FLWS.O,Dinesh Popat,59,President - BloomNet,2019,
1-800-Flowers.Com Inc,FLWS.O,Eugene F. DeMark,72,Independent Director,2012,
1-800-Flowers.Com Inc,FLWS.O,Geralyn R. Breig,57,Independent Director,2012,
1-800-Flowers.Com Inc,FLWS.O,Gerard M. Gallagher,65,Senior Vice President - Business Affairs,2018,
1-800-Flowers.Com Inc,FLWS.O,James A. Cannavino,75,Independent Director,2007,
1-800-Flowers.Com Inc,FLWS.O,James Francis McCann,68,"Executive Chairman of the Board, Founder",2016,
1-800-Flowers.Com Inc,FLWS.O,Katherine Oliver,56,Independent Director,2017,
1-800-Flowers.Com Inc,FLWS.O,Larry Zarin,65,Independent Director,2009,
1-800-Flowers.Com Inc,FLWS.O,Leonard J. Elmore,67,Independent Director,2002,
1-800-Flowers.Com Inc,FLWS.O,Michael R. Manley,53,"Senior Vice President, General Counsel, Corporate Secretary",2018,
1-800-Flowers.Com Inc,FLWS.O,Sean P. Hegarty,62,Independent Director,2014,
1-800-Flowers.Com Inc,FLWS.O,Thomas Hartnett,56,President - Consumer Floral,2013,
1-800-Flowers.Com Inc,FLWS.O,William E. Shea,60,"Chief Financial Officer, Senior Vice President, Treasurer",2018,
1st Constitution Bancorp,FCCY.O,Antonio L. Cruz,63,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,Carmen M. Penta,74,Independent Director,2017,
1st Constitution Bancorp,FCCY.O,Charles S. Crow,69,Independent Chairman of the Board,2005,
1st Constitution Bancorp,FCCY.O,Edwin J. Pisani,69,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,J Lynne Cannon,72,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,James G. Aaron,73,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,John T. Andreacio,55,"Executive Vice President, Chief Lending and Credit Officer",2014,
1st Constitution Bancorp,FCCY.O,Raymond R. Ciccone,,Director,2019,
1st Constitution Bancorp,FCCY.O,Robert F. Mangano,73,"President, Chief Executive Officer, Director",,
1st Constitution Bancorp,FCCY.O,Roy D. Tartaglia,68,Independent Director,2016,
1st Constitution Bancorp,FCCY.O,Stephen J. Gilhooly,66,"Chief Financial Officer, Senior Vice President, Treasurer",2014,
1st Constitution Bancorp,FCCY.O,William James Barrett,63,Independent Director,2017,
1st Constitution Bancorp,FCCY.O,William M. Rue,71,"Corporate Secretary, Independent Director",,
1st Source Corporation,SRCE.O,Andrea G. Short,55,"Chief Financial Officer, Executive Vice President, Treasurer of the Company and the Bank",2014,
1st Source Corporation,SRCE.O,Christopher J. Murphy,49,Director,2011,
1st Source Corporation,SRCE.O,Christopher J. Murphy,72,"Chairman of the Board and Chief Executive Officer, 1st Source and 1st Source Bank",2014,
1st Source Corporation,SRCE.O,Daniel B. Fitzpatrick,61,Independent Director,1995,
1st Source Corporation,SRCE.O,James R. Seitz,66,"President of 1st Source Corporation, President of 1st Source Bank",2014,
1st Source Corporation,SRCE.O,Jeffrey L. Buhr,59,"Executive Vice President and Chief Credit Officer, 1st Source Bank",2014,
1st Source Corporation,SRCE.O,John B. Griffith,61,"Executive Vice President, Chief Administrative Officer, General Counsel, Secretary",2011,
1st Source Corporation,SRCE.O,John F. Affleck-Graves,68,Independent Director,2019,
1st Source Corporation,SRCE.O,John T. Phair,69,Independent Director,2004,
1st Source Corporation,SRCE.O,Mark D. Schwabero,67,Independent Director,2004,
1st Source Corporation,SRCE.O,Melody Birmingham-Byrd,47,Independent Director,2018,
1st Source Corporation,SRCE.O,Rex Martin,67,Independent Director,1996,
1st Source Corporation,SRCE.O,Timothy K. Ozark,69,Lead Independent Director,2011,
1st Source Corporation,SRCE.O,Vinod M. Khilnani,67,Independent Director,2013,
22nd Century Group Inc,XXII.A,Andrea S. Jentsch,49,Chief Financial Officer,2019,
22nd Century Group Inc,XXII.A,John T. Brodfuehrer,61,Vice President - Strategy,2019,
22nd Century Group Inc,XXII.A,Juan Sanchez Tamburrino,,Vice President - Research & Development,2017,
22nd Century Group Inc,XXII.A,Michael J. Zercher,48,"President, Chief Operating Officer",2019,
22nd Century Group Inc,XXII.A,Nora B. Sullivan,61,Chairman of the Board,2020,
22nd Century Group Inc,XXII.A,Paul Rushton,55,Vice President - Plant Biotechnology,2015,
22nd Century Group Inc,XXII.A,Richard M. Sanders,66,Independent Director,2014,
22nd Century Group Inc,XXII.A,Roger D. O'Brien,71,Independent Director,2020,
22nd Century Group Inc,XXII.A,Thomas L. James,60,"Vice President, General Counsel, Secretary",2014,
2U Inc,TWOU.O,Alexis Maybank,44,Independent Director,2018,
2U Inc,TWOU.O,Christopher J. Paucek,48,"Chief Executive Officer, Director",2012,
2U Inc,TWOU.O,Coretha M. Rushing,63,Independent Director,2016,
2U Inc,TWOU.O,Earl Lewis,63,Independent Director,,
2U Inc,TWOU.O,Edward S. Macias,75,Independent Director,2014,
2U Inc,TWOU.O,Gregory K. Peters,48,Independent Director,2018,
2U Inc,TWOU.O,Harsha Mokkarala,39,Chief Revenue officer,2018,
2U Inc,TWOU.O,James Kenigsberg,43,Chief Technology Officer,2010,
2U Inc,TWOU.O,Jennifer Ogden-Reese,,Chief Marketing Officer,2019,
2U Inc,TWOU.O,John B. Ellis,51,"Senior Vice President, Corporate Controller and Chief Accounting Officer",2018,
2U Inc,TWOU.O,John M. Larson,67,Independent Director,2009,
2U Inc,TWOU.O,Mark J. Chernis,52,Chief Operating Officer,2018,
2U Inc,TWOU.O,Matt Norden,37,Co-General Counsel,2017,
2U Inc,TWOU.O,Paul A. Maeder,65,Independent Chairman of the Board,2012,
2U Inc,TWOU.O,Paul S. Lalljie,46,Chief Financial Officer,2019,
2U Inc,TWOU.O,Robert M. Stavis,56,Independent Director,2011,
2U Inc,TWOU.O,Sallie L. Krawcheck,54,Independent Director,,
2U Inc,TWOU.O,Timothy M. Haley,64,Independent Director,2010,
2U Inc,TWOU.O,Valerie B. Jarrett,62,Independent Director,2017,
3D Systems Corporation,DDD,Andrew M. Johnson,44,"Executive Vice President,Chief Legal Officer and Secretary",2016,
3D Systems Corporation,DDD,Charles G. McClure,65,Independent Chairman of the Board,2018,
3D Systems Corporation,DDD,Charles W. Hull,79,"Chief Technology Officer, Executive Vice President, Director",2003,
3D Systems Corporation,DDD,Herbert Koeck,58,"Executive Vice President, Global Go To Market",2016,
3D Systems Corporation,DDD,Jeffrey Wadsworth,69,Independent Director,2017,
3D Systems Corporation,DDD,Jimmy D. Kever,66,Independent Director,1996,
3D Systems Corporation,DDD,John J. Tracy,64,Independent Director,2017,
3D Systems Corporation,DDD,Kevin S. Moore,64,Independent Director,1999,
3D Systems Corporation,DDD,Malissia Clinton,50,Independent Director,2019,
3D Systems Corporation,DDD,Philip C. Schultz,56,"Executive Vice President, Operations",2018,
3D Systems Corporation,DDD,Thomas W. Erickson,68,Independent Director,2015,
3D Systems Corporation,DDD,Todd A. Booth,48,"Chief Financial Officer, Executive Vice President",2019,
3D Systems Corporation,DDD,Vyomesh I. Joshi,64,"President, Chief Executive Officer, Director",2016,
